question1,question2,label
ما هي الطرق الصحيحة للاعتناء بالحامل؟,كيف اهتم بطفلي؟,0
ما هي وسائل الاتصالات الحديثة؟,ماذا نعني بوسائل الاتصال الحديثة؟,1
ما طريقة تحضير محشي الكوسا ؟,من طرق تحضير محشي الكوسا؟,1
ما طريقة تحضير حلى الطبقات؟,من طرق تحضير   طبقات الكيك؟,0
من الآيات  القرآنية عن الراعي والرعية ؟,ما هو تعريف الراعي والرعية ؟,0
أين تقع قارة أوروبا؟,ما هو موقع اليمن؟,0
في أي عام ولد توفيق الحكيم؟,أين ولد توفيق الحكيم؟,0
ما هي قصيدة بائع الموت؟,ما هي أبيات قصيدة بائع الموت؟,1
ما طريقة تحضير االمهلبيّة بجوز الهند؟,كيف احضر المهلبيّة بجوز الهند؟,1
ما طريقة تحضير الكيك المحشي بالكريمة ؟,من طرق تحضير الكريمة؟,0
ما هي حصوات المرارة؟,ما هي حصى المرارة؟,1
كيف احضرالمصابيب مع المكشن؟,من طرق تحضير المصابيب  المحشي؟,0
ما هو الموت؟,ما أجمل ما قيل بالموت؟,0
في أي عام بُني برج خليفة؟,أين يوجد برج خليفة؟,0
ما هي العوامل التي تحفّّز ظهور الدهون على الوجه؟,ما أسباب تراكم الدهون في منطقة البطن؟,0
ما طريقة تحضير عجينة البيتزا بالحليب ؟,من طرق تحضير عجينة البيتزا  ؟,0
ما معنى الجهاد؟,ما أنواع الجهاد؟,0
لماذا ميدان بيكاديلي يجذب الكثير من السياح؟,ما اسم أهم معلم سياحي في بريطانيا؟,0
كم يبلغ طول تمثال المسيح الفادي؟,ما هو طول التمثال الفادي؟,1
إلى كم يصل ارتفاع أبو الهول الموجود في مصر؟,كم يبلغ عدد سكان مصر؟,0
من هي خديجة بنت خويلد؟,من هي عائشة؟,0
من هو المدير العام ؟,ما هو تعريف المدير العام ؟,1
ماذا نقصد بالألمنيوم؟,ما هو رمز الألمنيوم ؟,0
بماذا تتأثرالبشرة؟,ما هي أنواع البشرة؟,0
ما السبب وراء أهمية جزيرة القمر الكبرى؟,ما هي المساحة الجغرافية لجزيرة أنجوان؟,0
هل يعد واقي الشمس ضروريا للبشرة الدهنية؟,ما فائدة واقي الشمس للبشرة؟,0
ما هي ادارة الاعمال ؟,ما هي مجالات ادارة الاعمال ؟,0
ماهو الكوليسترول؟,ما تعريف الكوليسترول؟,1
ما هي أهمية الاستثمار ؟,الى ماذا يهدف الاستثمار ؟,1
من اقسام الرأسمالية؟,ماذا نقصد بالرأسماليّة؟,0
