QuestionPairID,Prediction
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,1
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,1
174,0
175,1
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,1
288,0
289,0
290,0
291,0
292,0
293,1
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,1
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,1
339,1
340,0
341,0
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,1
350,1
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,0
376,1
377,0
378,1
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,1
431,0
432,1
433,1
434,0
435,0
436,1
437,1
438,1
439,0
440,0
441,1
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,0
463,1
464,1
465,0
466,1
467,0
468,1
469,0
470,0
471,1
472,0
473,0
474,1
475,0
476,1
477,0
478,0
479,1
480,1
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,1
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,1
510,1
511,0
512,0
513,1
514,1
515,0
516,0
517,0
518,1
519,0
520,1
521,1
522,0
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,1
